1.000000000000000000e+00 1.697911834716796875e+01 1.210813236236572266e+01 7.131190299987792969e-01 1.210829830169677734e+01 7.131288051605224609e-01 1.000000013351431960e-10 9.900000095367431641e-01 1.000000013351431960e-10 1.000000013351431960e-10 1.000000013351431960e-10 1.000000013351431960e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
2.000000000000000000e+00 1.503934383392333984e+01 1.503936576843261719e+01 1.000001430511474609e+00 1.503934478759765625e+01 1.000000119209289551e+00 1.000000013351431960e-10 9.900000095367431641e-01 1.000000013351431960e-10 1.000000013351431960e-10 1.000000013351431960e-10 1.000000013351431960e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
3.000000000000000000e+00 1.714793586730957031e+01 1.714808845520019531e+01 1.000008940696716309e+00 1.714793586730957031e+01 1.000000000000000000e+00 1.000000152129310038e-10 9.900000095367431641e-01 1.000000013351431960e-10 1.000000013351431960e-10 1.000000013351431960e-10 1.000000013351431960e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
4.000000000000000000e+00 1.775034713745117188e+01 1.574207496643066406e+01 8.868601322174072266e-01 1.574202346801757812e+01 8.868572115898132324e-01 1.000000221518249077e-10 9.900000095367431641e-01 1.000028601594316058e-10 1.000000013351431960e-10 1.000000013351431960e-10 1.000000013351431960e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
5.000000000000000000e+00 1.484599781036376953e+01 1.109093189239501953e+01 7.470654249191284180e-01 1.109095096588134766e+01 7.470667362213134766e-01 1.000000082740370999e-10 9.900000095367431641e-01 1.000000221518249077e-10 1.000000082740370999e-10 1.000000290907188116e-10 1.000000013351431960e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
6.000000000000000000e+00 1.318097782135009766e+01 1.318100547790527344e+01 1.000002145767211914e+00 1.318097782135009766e+01 1.000000000000000000e+00 1.000000013351431960e-10 9.900000095367431641e-01 1.000000013351431960e-10 1.000000013351431960e-10 1.000000013351431960e-10 1.000000013351431960e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
7.000000000000000000e+00 1.612416267395019531e+01 1.167674541473388672e+01 7.241768836975097656e-01 1.167673110961914062e+01 7.241759896278381348e-01 1.000000290907188116e-10 9.900000095367431641e-01 1.000000082740370999e-10 1.000006535911701633e-10 1.000000013351431960e-10 1.000000013351431960e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
8.000000000000000000e+00 1.651669502258300781e+01 1.296328353881835938e+01 7.848594188690185547e-01 1.296328163146972656e+01 7.848592996597290039e-01 1.000000013351431960e-10 9.900000095367431641e-01 1.000000013351431960e-10 1.000000013351431960e-10 1.000000013351431960e-10 1.000000013351431960e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
9.000000000000000000e+00 1.561667919158935547e+01 1.124598121643066406e+01 7.201262712478637695e-01 1.124596405029296875e+01 7.201251983642578125e-01 1.000000152129310038e-10 9.900000095367431641e-01 1.000000013351431960e-10 1.000000499074005234e-10 1.000001054185517546e-10 1.000000013351431960e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
1.000000000000000000e+01 1.938658142089843750e+01 1.109737586975097656e+01 5.724256038665771484e-01 1.109739780426025391e+01 5.724267363548278809e-01 1.000000013351431960e-10 9.900000095367431641e-01 1.000006535911701633e-10 1.000001123574456585e-10 1.000000082740370999e-10 1.000000013351431960e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
