1.000000000000000000e+00 1.697911900000000074e+01 1.697911851224381863e+01 9.999999712731748591e-01 7.680000000000000000e+02 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10
2.000000000000000000e+00 1.503934399999999982e+01 1.445440333675571587e+01 9.611059722256314330e-01 8.000000000000000000e+00 1.000000000000000036e-10 6.600000000000000311e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
3.000000000000000000e+00 1.714793500000000037e+01 1.656297737077733956e+01 9.658875760129332910e-01 8.000000000000000000e+00 1.000000000000000036e-10 6.600000000000000311e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
4.000000000000000000e+00 1.775034799999999890e+01 1.775034820104840705e+01 1.000000011326448890e+00 4.800000000000000000e+01 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
5.000000000000000000e+00 1.484599799999999981e+01 1.476751891818589613e+01 9.947137887386147126e-01 4.800000000000000000e+01 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
6.000000000000000000e+00 1.318097799999999964e+01 1.259609337660153017e+01 9.556266140950641086e-01 8.000000000000000000e+00 1.000000000000000036e-10 6.600000000000000311e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
7.000000000000000000e+00 1.612416199999999833e+01 1.553920991345312075e+01 9.637220162792412559e-01 1.280000000000000000e+02 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 6.600000000000000311e-01 1.000000000000000036e-10 1.000000000000000036e-10
8.000000000000000000e+00 1.651669499999999857e+01 1.651669518699621975e+01 1.000000011321648952e+00 4.800000000000000000e+01 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
9.000000000000000000e+00 1.561667899999999953e+01 1.403177378520537566e+01 8.985120194380237235e-01 6.400000000000000000e+01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 3.300000000000000155e-01 1.000000000000000036e-10 1.000000000000000036e-10
1.000000000000000000e+01 1.938658099999999962e+01 1.835637239152785583e+01 9.468597062848708168e-01 4.800000000000000000e+01 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
1.100000000000000000e+01 1.540522999999999954e+01 1.540522961295935289e+01 9.999999748760228790e-01 4.800000000000000000e+01 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
1.200000000000000000e+01 2.001742600000000039e+01 1.943246420338487113e+01 9.707773718451548906e-01 2.048000000000000000e+03 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 6.600000000000000311e-01
1.300000000000000000e+01 1.839502500000000040e+01 1.781006446859917602e+01 9.682000686924413513e-01 2.000000000000000000e+00 6.600000000000000311e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
1.400000000000000000e+01 1.912352999999999881e+01 1.912353038652576487e+01 1.000000020212051144e+00 7.680000000000000000e+02 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10
1.500000000000000000e+01 1.632146799999999942e+01 1.573651389445245385e+01 9.641604477276464191e-01 2.048000000000000000e+03 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 6.600000000000000311e-01
1.600000000000000000e+01 1.705251300000000114e+01 1.546757123483807206e+01 9.070552378314018505e-01 6.400000000000000000e+01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 3.300000000000000155e-01 1.000000000000000036e-10 1.000000000000000036e-10
1.700000000000000000e+01 1.590754399999999968e+01 1.432262884829435379e+01 9.003670741564099300e-01 6.400000000000000000e+01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 3.300000000000000155e-01 1.000000000000000036e-10 1.000000000000000036e-10
1.800000000000000000e+01 1.798380300000000176e+01 1.798380289907974827e+01 9.999999943882695863e-01 7.680000000000000000e+02 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10
1.900000000000000000e+01 1.981869199999999864e+01 1.981869164858708388e+01 9.999999822686120865e-01 7.680000000000000000e+02 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10
2.000000000000000000e+01 1.568507400000000018e+01 1.568507402937993689e+01 1.000000001873114330e+00 7.680000000000000000e+02 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10
2.100000000000000000e+01 1.393315499999999929e+01 1.334823813462460329e+01 9.580197833602370761e-01 8.000000000000000000e+00 1.000000000000000036e-10 6.600000000000000311e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
2.200000000000000000e+01 1.462410099999999957e+01 1.462410093277039991e+01 9.999999954028216953e-01 7.680000000000000000e+02 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10
2.300000000000000000e+01 1.976919600000000088e+01 1.918423460575754902e+01 9.704104610909592976e-01 2.000000000000000000e+00 6.600000000000000311e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
2.400000000000000000e+01 1.784774699999999825e+01 1.784774664867531868e+01 9.999999803154605571e-01 4.800000000000000000e+01 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
2.500000000000000000e+01 1.639320800000000133e+01 1.639320794819015958e+01 9.999999968395544281e-01 7.680000000000000000e+02 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10
2.600000000000000000e+01 1.296259000000000050e+01 1.220835854257174269e+01 9.418147563543814993e-01 8.000000000000000000e+00 1.000000000000000036e-10 6.600000000000000311e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
2.700000000000000000e+01 1.640406300000000073e+01 1.554018193565153361e+01 9.473373721895321786e-01 8.000000000000000000e+00 1.000000000000000036e-10 6.600000000000000311e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
2.800000000000000000e+01 1.253994699999999973e+01 1.195510583159316731e+01 9.533617511775103193e-01 8.000000000000000000e+00 1.000000000000000036e-10 6.600000000000000311e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
2.900000000000000000e+01 1.441623200000000082e+01 1.416220363565295415e+01 9.823790041428962505e-01 7.680000000000000000e+02 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10
3.000000000000000000e+01 1.678399500000000089e+01 1.678399473628423522e+01 9.999999842876642342e-01 7.680000000000000000e+02 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10
3.100000000000000000e+01 1.814140599999999992e+01 1.755644605466068953e+01 9.677555341995371929e-01 2.000000000000000000e+00 6.600000000000000311e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
3.200000000000000000e+01 1.548113400000000084e+01 1.489618744792011817e+01 9.622155229662192610e-01 8.000000000000000000e+00 1.000000000000000036e-10 6.600000000000000311e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
3.300000000000000000e+01 1.707904500000000070e+01 1.649408787874840954e+01 9.657500099536249216e-01 1.280000000000000000e+02 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 6.600000000000000311e-01 1.000000000000000036e-10 1.000000000000000036e-10
3.400000000000000000e+01 2.047377699999999834e+01 1.988881485428486684e+01 9.714287136313377591e-01 2.000000000000000000e+00 6.600000000000000311e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
3.500000000000000000e+01 1.233686699999999981e+01 1.132442793677227577e+01 9.179338592830964538e-01 7.680000000000000000e+02 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10
3.600000000000000000e+01 2.722865300000000133e+01 2.629571033692375437e+01 9.657367309695324975e-01 4.800000000000000000e+01 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
