1.000000000000000000e+00 1.697911900000000074e+01 1.697911851224381863e+01 9.999999712731748591e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10
2.000000000000000000e+00 1.503934399999999982e+01 1.503934441594214100e+01 1.000000027656933854e+00 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
3.000000000000000000e+00 1.714793500000000037e+01 1.714793490421867261e+01 9.999999944144103425e-01 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
4.000000000000000000e+00 1.775034799999999890e+01 1.775034820104840705e+01 1.000000011326448890e+00 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
5.000000000000000000e+00 1.484599799999999981e+01 1.476751891818589613e+01 9.947137887386147126e-01 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
6.000000000000000000e+00 1.318097799999999964e+01 1.318097820530041098e+01 1.000000015575506662e+00 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
7.000000000000000000e+00 1.612416199999999833e+01 1.612416231361202890e+01 1.000000019449818867e+00 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10
8.000000000000000000e+00 1.651669499999999857e+01 1.651669518699621975e+01 1.000000011321648952e+00 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
9.000000000000000000e+00 1.561667899999999953e+01 1.561667885474466289e+01 9.999999906987051546e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10
1.000000000000000000e+01 1.938658099999999962e+01 1.938658120732338475e+01 1.000000010694169550e+00 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10
1.100000000000000000e+01 1.540522999999999954e+01 1.540522961295935289e+01 9.999999748760228790e-01 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
1.200000000000000000e+01 2.001742600000000039e+01 2.001742601690375167e+01 1.000000000844451842e+00 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01
1.300000000000000000e+01 1.839502500000000040e+01 1.839502487459006019e+01 9.999999931823990718e-01 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
1.400000000000000000e+01 1.912352999999999881e+01 1.912353038652576487e+01 1.000000020212051144e+00 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10
1.500000000000000000e+01 1.632146799999999942e+01 1.632146758653328433e+01 9.999999746673083889e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01
1.600000000000000000e+01 1.705251300000000114e+01 1.705251250597963875e+01 9.999999710294686928e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10
1.700000000000000000e+01 1.590754399999999968e+01 1.590754440564777106e+01 1.000000025500339396e+00 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10
1.800000000000000000e+01 1.798380300000000176e+01 1.036805756502068121e+01 5.765219717442789937e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 9.899999999999999911e-01 1.000000000000000036e-10
1.900000000000000000e+01 1.981869199999999864e+01 1.981869164858708388e+01 9.999999822686120865e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10
2.000000000000000000e+01 1.568507400000000018e+01 1.568507402937993689e+01 1.000000001873114330e+00 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10
2.100000000000000000e+01 1.393315499999999929e+01 1.393315452009967181e+01 9.999999655569519197e-01 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
2.200000000000000000e+01 1.462410099999999957e+01 1.462410093277039991e+01 9.999999954028216953e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10
2.300000000000000000e+01 1.976919600000000088e+01 1.976919629905831499e+01 1.000000015127489927e+00 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
2.400000000000000000e+01 1.784774699999999825e+01 1.784774664867531868e+01 9.999999803154605571e-01 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10
2.500000000000000000e+01 1.639320800000000133e+01 1.639320794819015958e+01 9.999999968395544281e-01 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10
2.600000000000000000e+01 1.296259000000000050e+01 1.296259010841808212e+01 1.000000008363921333e+00 1.000000000000000036e-10 1.000000000000000036e-10 1.000000000000000036e-10 9.899999999999999911e-01 1.000000000000000036e-10 1.000000000000000036e-10
