1.000000000000000000e+00 1.000000000000000000e+00 9.999999712731748591e-01 7.131190000120573025e-01 7.131287731534702301e-01 9.999999712731748591e-01 1.235951283731378803e-01 1.469590721198324179e-01
2.000000000000000000e+00 1.000000000000000000e+00 1.000000027656933854e+00 1.000001447432322665e+00 1.000000052369149683e+00 9.611059722256314330e-01 1.670468815234689430e-01 6.351580955879537749e-02
3.000000000000000000e+00 1.000000000000000000e+00 9.999999944144103425e-01 1.000008948902605166e+00 1.000000050578076616e+00 9.658875760129332910e-01 3.919047066719286154e-02 4.615276273841167204e-02
4.000000000000000000e+00 1.000000000000000000e+00 1.000000011326448890e+00 8.868600754436287703e-01 8.868571741814627041e-01 1.000000011326448890e+00 2.139791769030578994e-01 1.022724198731697759e-01
5.000000000000000000e+00 1.000000000000000000e+00 9.947137887386147126e-01 7.470654308585397141e-01 7.470667156146287846e-01 9.947137887386147126e-01 2.262530807418611234e-02 3.836092710247084731e-02
6.000000000000000000e+00 1.000000000000000000e+00 1.000000015575506662e+00 1.000002084663617063e+00 9.999999864463848809e-01 9.556266140950641086e-01 3.674000467979732926e-02 1.695493792597421376e-02
7.000000000000000000e+00 1.000000000000000000e+00 1.000000019449818867e+00 7.241768852690693148e-01 7.241759980840642985e-01 9.637220162792412559e-01 1.222893228409733801e-01 1.099978389003503643e-01
8.000000000000000000e+00 1.000000000000000000e+00 1.000000011321648952e+00 7.848594127831481915e-01 7.848592973031062181e-01 1.000000011321648952e+00 9.120102726702616902e-02 2.586408231510599620e-01
9.000000000000000000e+00 1.000000000000000000e+00 9.999999906987051546e-01 7.201262967901603806e-01 7.201251975719658027e-01 8.985120194380237235e-01 8.195263288818442626e-03 2.773495775478236960e-02
1.000000000000000000e+01 1.000000000000000000e+00 1.000000010694169550e+00 5.724256314071561880e-01 5.724267628345737213e-01 9.468597062848708168e-01 2.996313870101190990e-01 2.669485339884843378e-01
1.100000000000000000e+01 1.000000000000000000e+00 9.999999748760228790e-01 7.004935683528634716e-01 7.004924540470273131e-01 9.999999748760228790e-01 7.926610827474811494e-02 1.168854881953698549e-01
1.200000000000000000e+01 1.000000000000000000e+00 1.000000000844451842e+00 9.212541769277814430e-01 9.212528429460368207e-01 9.707773718451548906e-01 1.108432753499209444e-01 4.343581694089538869e-01
1.300000000000000000e+01 1.000000000000000000e+00 9.999999931823990718e-01 5.848392668436336317e-01 5.848389039346288953e-01 9.682000686924413513e-01 2.462143386639053244e-01 1.406395002663443916e-01
1.400000000000000000e+01 1.000000000000000000e+00 1.000000020212051144e+00 6.947452263407274398e-01 6.947448273874730074e-01 1.000000020212051144e+00 1.779879592577786329e-01 3.476485665022142069e-01
1.500000000000000000e+01 1.000000000000000000e+00 9.999999746673083889e-01 6.069911842639756916e-01 6.069904830959313990e-01 9.641604477276464191e-01 8.327869016444904016e-02 7.884993333251948122e-02
1.600000000000000000e+01 1.000000000000000000e+00 9.999999710294686928e-01 8.647026804043760340e-01 8.646982063456075673e-01 9.070552378314018505e-01 6.643701534708541800e-02 5.174281905692060951e-02
1.700000000000000000e+01 1.000000000000000000e+00 1.000000025500339396e+00 8.684303067226789574e-01 8.684077651195900582e-01 9.003670741564099300e-01 3.994415870208214286e-02 1.521230128811217330e-01
1.800000000000000000e+01 1.000000000000000000e+00 5.765219717442789937e-01 7.445915531159710277e-01 7.445885834570107331e-01 9.999999943882695863e-01 4.353123725875110428e-01 2.914095132548474854e-01
1.900000000000000000e+01 1.000000000000000000e+00 9.999999822686120865e-01 7.472655560324968915e-01 7.472622838764173547e-01 9.999999822686120865e-01 2.279532126019017113e-01 2.038351077446196591e-01
2.000000000000000000e+01 1.000000000000000000e+00 1.000000001873114330e+00 8.473127407726054328e-01 8.473126191698234777e-01 1.000000001873114330e+00 2.697747276593127075e-01 1.211931202202820856e-01
2.100000000000000000e+01 1.000000000000000000e+00 9.999999655569519197e-01 1.000004727094637724e+00 9.999999358465572197e-01 9.580197833602370761e-01 3.583287925986822220e-02 2.879314540946897524e-02
2.200000000000000000e+01 1.000000000000000000e+00 9.999999954028216953e-01 7.822507812112823311e-01 7.822499986611757272e-01 9.999999954028216953e-01 5.548385080129140945e-02 5.958744534114478186e-02
2.300000000000000000e+01 1.000000000000000000e+00 1.000000015127489927e+00 7.511414479959261925e-01 7.511400972641686380e-01 9.704104610909592976e-01 6.837856953387715098e-02 1.182987287594568088e-01
2.400000000000000000e+01 1.000000000000000000e+00 9.999999803154605571e-01 7.388601925072516563e-01 7.388595513007286675e-01 9.999999803154605571e-01 1.218167289841365908e-01 6.528305646586048117e-02
2.500000000000000000e+01 1.000000000000000000e+00 9.999999968395544281e-01 7.246430243273532801e-01 7.246361015064111122e-01 9.999999968395544281e-01 8.384454942945553102e-02 1.354137314029715822e-01
2.600000000000000000e+01 1.000000000000000000e+00 1.000000008363921333e+00 9.869354498989676427e-01 9.869339049021232935e-01 9.418147563543814993e-01 6.725899864572627840e-02 4.495209986666422186e-02
2.700000000000000000e+01 1.000000000000000000e+00 5.887221549958117084e-01 9.830121302154447571e-01 9.829963170956058649e-01 9.473373721895321786e-01 1.447815074094813692e-01 1.195946456091405846e-01
